Brentford,Arsenal,2,0,4,3.4,1.95,2.37,1.57
Man United,Leeds,5,1,1.53,4.5,5.75,1.66,2.2
Burnley,Brighton,1,2,3.1,3.1,2.45,2.3,1.61
Chelsea,Crystal Palace,3,0,1.25,5.75,13,1.9,1.9
Everton,Southampton,3,1,1.9,3.5,4,2.2,1.66
Leicester,Wolves,1,0,1.66,3.8,5.25,2,1.8
Watford,Aston Villa,3,2,3.1,3.2,2.37,2.1,1.72
Norwich,Liverpool,0,3,9,5.75,1.3,1.57,2.37
Newcastle,West Ham,2,4,3.2,3.5,2.2,1.9,1.9
Tottenham,Man City,1,0,5.5,4.2,1.6,1.8,2
Liverpool,Burnley,2,0,1.18,7.5,13,1.44,2.75
Aston Villa,Newcastle,2,0,1.8,3.75,4.33,1.72,2.1
Crystal Palace,Brentford,0,0,2.55,3.2,2.87,2.3,1.61
Leeds,Everton,2,2,2.37,3.4,3,1.8,2
Man City,Norwich,5,0,1.08,11,26,1.36,3.2
Brighton,Watford,2,0,1.7,3.5,5.75,2.1,1.72
Southampton,Man United,1,1,5.5,4.2,1.57,1.66,2.2
Wolves,Tottenham,0,1,3.2,3.2,2.35,2.3,1.61
Arsenal,Chelsea,0,2,4.75,3.75,1.72,2.1,1.72
West Ham,Leicester,4,1,2.5,3.5,2.75,1.8,2
Man City,Arsenal,5,0,1.25,6,12,1.8,2
Aston Villa,Brentford,1,1,1.95,3.6,3.8,2.2,1.66
Brighton,Everton,0,2,2.3,3.2,3.3,2.2,1.66
Newcastle,Southampton,2,2,2.5,3.4,2.8,1.72,2.1
Norwich,Leicester,1,2,4.5,3.5,1.85,1.9,1.9
West Ham,Crystal Palace,2,2,1.55,4,6.5,1.8,2
Liverpool,Chelsea,1,1,2.45,3.3,2.9,2,1.8
Burnley,Leeds,1,1,3.1,3.5,2.25,1.72,2.1
Tottenham,Watford,1,0,1.36,4.75,9,1.8,2
Wolves,Man United,0,1,5,3.5,1.75,2,1.8
Crystal Palace,Tottenham,3,0,4.2,3.5,1.9,2.3,1.61
Arsenal,Norwich,1,0,1.5,4.6,6,1.66,2.2
Brentford,Brighton,0,1,2.8,3.2,2.62,2.5,1.53
Leicester,Man City,0,1,6,4,1.57,1.8,2
Man United,Newcastle,4,1,1.18,7.5,15,1.44,2.75
Southampton,West Ham,0,0,2.9,3.5,2.4,1.66,2.2
Watford,Wolves,0,2,3.4,3.2,2.25,2.3,1.61
Chelsea,Aston Villa,3,0,1.28,5.5,11,1.66,2.2
Leeds,Liverpool,0,3,4.33,4,1.75,1.53,2.5
Everton,Burnley,3,1,1.7,3.75,5,2.3,1.61
Newcastle,Leeds,1,1,3,3.6,2.3,1.61,2.3
Wolves,Brentford,0,2,1.83,3.25,5,2.37,1.57
Burnley,Arsenal,0,1,3.8,3.6,1.95,1.85,2.05
Liverpool,Crystal Palace,3,0,1.2,7,13,1.53,2.5
Man City,Southampton,0,0,1.12,9.5,17,1.36,3.2
Norwich,Watford,1,3,2.15,3.3,3.5,2.1,1.8
Aston Villa,Everton,3,0,2.4,3.3,3,2,1.8
Brighton,Leicester,2,1,2.7,3.2,2.75,2,1.8
West Ham,Man United,1,2,4.33,4,1.75,1.9,1.9
Tottenham,Chelsea,0,3,5,3.8,1.7,2.2,1.66
Chelsea,Man City,0,1,2.62,3.2,2.75,2.1,1.72
Man United,Aston Villa,0,1,1.36,5.25,8,1.61,2.3
Everton,Norwich,2,0,1.61,3.8,5.75,2,1.8
Leeds,West Ham,1,2,3,3.6,2.25,1.57,2.37
Leicester,Burnley,2,2,1.57,4,6,1.9,1.9
Watford,Newcastle,1,1,2.2,3.4,3.3,1.9,1.9
Brentford,Liverpool,3,3,7,4.5,1.45,1.72,2.1
Southampton,Wolves,0,1,2.62,3.2,2.8,2.1,1.72
Arsenal,Tottenham,3,1,2.15,3.3,3.5,1.98,1.92
Crystal Palace,Brighton,1,1,3.1,3.2,2.45,2.3,1.61
Man United,Everton,1,1,1.45,4.33,7.5,1.8,2
Burnley,Norwich,0,0,1.85,3.6,4.33,1.9,1.9
Chelsea,Southampton,3,1,1.36,4.75,9,1.72,2.1
Leeds,Watford,1,0,1.7,4,4.75,1.61,2.3
Wolves,Newcastle,2,1,1.61,4.2,5.25,1.9,1.9
Brighton,Arsenal,0,0,3,3.25,2.4,2,1.8
Crystal Palace,Leicester,2,2,3.1,3.4,2.3,2.1,1.72
Tottenham,Aston Villa,2,1,2.1,3.6,3.4,2,1.8
West Ham,Brentford,1,2,1.75,3.75,4.75,1.9,1.9
Liverpool,Man City,2,2,2.87,3.5,2.4,1.72,2.1
Watford,Liverpool,0,5,8.5,5.5,1.33,1.53,2.5
Aston Villa,Wolves,2,3,2.15,3.25,3.5,2.37,1.57
Leicester,Man United,4,2,3.5,3.6,2.05,1.66,2.2
Man City,Burnley,2,0,1.12,9,19,1.33,3.4
Norwich,Brighton,0,0,3.6,3.4,2.1,2.2,1.66
Southampton,Leeds,1,0,2.3,3.5,3,1.72,2.1
Brentford,Chelsea,0,1,6.5,3.8,1.57,2,1.9
Everton,West Ham,0,1,2.5,3.4,2.8,2,1.8
Newcastle,Tottenham,2,3,3.5,3.6,2.05,1.72,2.1
Arsenal,Crystal Palace,2,2,1.6,3.8,6,1.9,1.9
Arsenal,Aston Villa,3,1,1.83,3.75,4.2,1.8,2
Chelsea,Norwich,7,0,1.18,7,15,1.72,2.1
Crystal Palace,Newcastle,1,1,1.9,3.6,4,2,1.8
Everton,Watford,2,5,1.65,3.8,5.5,2,1.8
Leeds,Wolves,1,1,2.4,3.4,2.87,1.9,1.9
Southampton,Burnley,2,2,1.95,3.5,3.9,1.9,1.9
Brighton,Man City,1,4,8,4.75,1.4,1.72,2.1
Brentford,Leicester,1,2,2.62,3.3,2.7,1.9,1.9
West Ham,Tottenham,1,0,2.3,3.5,3,1.72,2.1
Man United,Liverpool,0,5,3.1,3.6,2.2,1.5,2.62
Leicester,Arsenal,0,2,2.4,3.5,2.87,1.72,2.1
Burnley,Brentford,3,1,2.6,3.3,2.75,2.3,1.61
Liverpool,Brighton,2,2,1.22,6.5,13,1.5,2.62
Man City,Crystal Palace,0,2,1.14,8,19,1.44,2.75
Newcastle,Chelsea,0,3,8.5,5,1.36,1.9,1.9
Watford,Southampton,0,1,3.2,3.3,2.3,1.8,2
Tottenham,Man United,0,3,2.87,3.6,2.37,1.9,1.9
Norwich,Leeds,1,2,3.4,3.5,2.1,1.8,2
Aston Villa,West Ham,1,4,2.8,3.5,2.45,1.8,2
Wolves,Everton,2,1,2.2,3.2,3.5,2.5,1.53
Southampton,Aston Villa,1,0,1.95,3.6,3.75,1.72,2.1
Man United,Man City,0,2,4.75,4,1.7,1.66,2.2
Brentford,Norwich,1,2,1.6,4,5.75,1.97,1.93
Chelsea,Burnley,1,1,1.25,6,12,1.86,2.04
Crystal Palace,Wolves,2,0,2.45,3.2,3,2.5,1.53
Brighton,Newcastle,1,1,1.57,3.9,6,1.9,1.9
Arsenal,Watford,1,0,1.36,4.75,8.5,1.61,2.3
Everton,Tottenham,0,0,3.1,3.25,2.37,2,1.8
Leeds,Leicester,1,1,2.8,3.5,2.45,1.9,1.9
West Ham,Liverpool,3,2,4.75,4,1.7,1.5,2.62
Leicester,Chelsea,0,3,4.75,3.75,1.75,2,1.8
Aston Villa,Brighton,2,0,2.45,3.3,2.9,2.05,1.85
Burnley,Crystal Palace,3,3,2.7,3.2,2.7,2.3,1.61
Newcastle,Brentford,3,3,2.62,3.4,2.7,1.88,2.02
Norwich,Southampton,2,1,3.6,3.5,2.05,1.95,1.95
Watford,Man United,4,1,6.5,4.75,1.45,1.57,2.37
Wolves,West Ham,1,0,3,3.25,2.4,2.01,1.89
Liverpool,Arsenal,4,0,1.45,4.75,6.5,1.53,2.5
Man City,Everton,3,0,1.14,8,19,1.53,2.5
Tottenham,Leeds,2,1,1.7,4.2,4.5,1.89,2.01
Bournemouth,West Brom,2,2,2.3,3.25,3.2,2,1.8
Blackburn,Swansea,2,1,2.1,3.4,3.4,2.3,1.61
Bristol City,Blackpool,1,1,2.15,3.4,3.3,2.2,1.66
Cardiff,Barnsley,1,1,2.2,3.4,3.2,2.3,1.61
Derby,Huddersfield,1,1,4.5,3.75,1.72,2.1,1.72
Luton,Peterboro,3,0,2.1,3.4,3.4,2,1.85
Preston,Hull,1,4,2.25,3.4,3.1,2,1.8
QPR,Millwall,1,1,2.05,3.4,3.6,2.2,1.66
Stoke,Reading,3,2,2.05,3.25,3.8,2.5,1.53
Sheffield United,Birmingham,0,1,1.75,3.5,5,2.3,1.61
Fulham,Middlesbrough,1,1,1.9,3.4,4.2,2.1,1.72
Coventry,Nott'm Forest,2,1,2.45,3.3,2.8,2.5,1.53
Peterboro,Derby,2,1,2.15,3.3,3.5,2.2,1.66
Barnsley,Coventry,1,0,2,3.3,3.9,2.2,1.66
Birmingham,Stoke,0,0,2.7,3.1,2.8,2.5,1.53
Blackpool,Cardiff,0,2,3.1,3.2,2.4,2.2,1.66
Huddersfield,Fulham,1,5,4.75,3.3,1.85,2.1,1.72
Hull,QPR,0,3,2.8,3.25,2.6,2.06,1.87
Middlesbrough,Bristol City,2,1,1.8,3.4,5,2.2,1.66
Millwall,Blackburn,1,1,2.45,3.2,3,2.2,1.66
Nott'm Forest,Bournemouth,1,2,3.5,3.3,2.15,2.2,1.66
Reading,Preston,2,1,2.2,3.2,3.5,2.1,1.72
West Brom,Luton,3,2,1.7,3.6,5.5,2,1.93
Swansea,Sheffield United,0,0,3,3.2,2.45,2.3,1.61
Barnsley,Luton,0,1,2.3,3.2,3.3,2.3,1.61
Blackpool,Coventry,0,1,3,3.2,2.45,2.37,1.57
Huddersfield,Preston,1,0,2.45,3.2,3,2.3,1.61
Millwall,Fulham,1,2,3.8,3.1,2.15,2.3,1.61
Peterboro,Cardiff,2,2,3.2,3.2,2.4,2.3,1.61
Swansea,Stoke,1,3,3.1,3.1,2.45,2.37,1.57
Reading,Bristol City,2,3,2.2,3.25,3.4,2.2,1.66
Birmingham,Bournemouth,0,2,3.1,3.25,2.4,2.1,1.72
Hull,Derby,0,1,1.8,3.75,4.5,2.1,1.72
Middlesbrough,QPR,2,3,2.4,3.25,3,2.1,1.72
Nott'm Forest,Blackburn,1,2,2.37,3.3,3.1,2.1,1.72
West Brom,Sheffield United,4,0,2.1,3.4,3.5,2.1,1.72
Bristol City,Swansea,0,1,2.15,3.25,3.6,2.2,1.66
QPR,Barnsley,2,2,2.05,3.3,3.8,2,1.8
Blackburn,West Brom,1,2,4,3.3,1.9,2.1,1.72
Bournemouth,Blackpool,2,2,1.65,3.8,5.5,2,1.8
Cardiff,Millwall,3,1,2.2,3.2,3.5,2.5,1.53
Coventry,Reading,2,1,2.05,3.4,3.6,2.2,1.66
Derby,Middlesbrough,0,0,3.1,3.1,2.45,2.3,1.61
Fulham,Hull,2,0,1.36,4.75,9.5,1.85,2
Luton,Birmingham,0,5,2,3.25,3.8,2.2,1.66
Preston,Peterboro,1,0,2.1,3.3,3.6,2.2,1.66
Sheffield United,Huddersfield,1,2,1.57,3.8,5.75,2.1,1.72
Stoke,Nott'm Forest,1,0,1.83,3.5,4.5,2.3,1.61
Cardiff,Bristol City,1,2,1.95,3.4,4,2,1.8
Derby,Nott'm Forest,1,1,2.45,3.1,3.1,2.5,1.53
Barnsley,Birmingham,1,1,2.25,3.3,3.3,2.37,1.57
Fulham,Stoke,3,0,1.83,3.4,4.5,2.2,1.66
Huddersfield,Reading,4,0,2.37,3.25,3.1,2.1,1.72
Hull,Bournemouth,0,0,3.6,3.4,2.1,2.1,1.72
Luton,Sheffield United,0,0,2.87,3.2,2.55,2.3,1.61
Middlesbrough,Blackburn,1,1,2.1,3.3,3.6,2.1,1.72
Millwall,Blackpool,2,1,1.83,3.5,4.5,2.2,1.66
Preston,Swansea,3,1,2.25,3.3,3.3,2.2,1.66
QPR,Coventry,2,0,2.2,3.3,3.4,2,1.8
Peterboro,West Brom,0,1,5.5,3.6,1.66,1.9,1.9
Birmingham,Derby,2,0,1.85,3.3,4.75,2.37,1.57
Blackburn,Luton,2,2,2.2,3.3,3.4,1.9,1.9
Blackpool,Fulham,1,0,6,4,1.57,1.9,1.9
Bournemouth,Barnsley,3,0,1.83,3.5,4.5,2.1,1.72
Bristol City,Preston,0,0,2.3,3.2,3.3,2.2,1.66
Coventry,Middlesbrough,2,0,2.2,3.3,3.4,2.3,1.61
Reading,QPR,3,3,3,3.4,2.37,1.8,2
Sheffield United,Peterboro,6,2,1.66,3.75,5.5,2,1.8
Stoke,Huddersfield,2,1,1.75,3.6,5,2.1,1.72
Swansea,Hull,0,0,2.15,3.3,3.5,2.1,1.72
West Brom,Millwall,1,1,1.53,4,6.5,1.9,1.9
Nott'm Forest,Cardiff,1,2,3.1,3.1,2.5,2.3,1.61
Blackburn,Hull,2,0,1.75,3.6,5,2.1,1.72
Blackpool,Huddersfield,0,3,2.6,3.2,2.87,2.2,1.66
Bournemouth,QPR,2,1,1.9,3.6,4,1.66,2.2
Sheffield United,Preston,2,2,1.85,3.3,4.75,2.2,1.66
Reading,Peterboro,3,1,2.3,3.4,3.1,1.9,1.9
West Brom,Derby,0,0,1.53,3.9,6.5,1.9,1.9
Birmingham,Fulham,1,4,3.8,3.3,2.05,2.3,1.61
Bristol City,Luton,1,1,2.45,3.2,3,2.2,1.66
Coventry,Cardiff,1,0,2.2,3.3,3.4,2.2,1.66
Nott'm Forest,Middlesbrough,0,2,2.9,3.1,2.55,2.5,1.53
Stoke,Barnsley,1,1,1.75,3.5,5,2.2,1.66
Swansea,Millwall,0,0,2.6,3.1,2.9,2.3,1.61
Hull,Sheffield United,1,3,3.25,3.3,2.3,2.2,1.66
Barnsley,Blackburn,0,0,3,3,2.62,2.2,1.66
Cardiff,Bournemouth,0,1,2.9,3.2,2.55,2,1.8
Derby,Stoke,2,1,3.1,3.1,2.45,2.37,1.57
Fulham,Reading,1,2,1.33,5,9.5,1.66,2.2
Huddersfield,Nott'm Forest,0,2,2.05,3.3,3.8,2.2,1.66
Luton,Swansea,3,3,2.05,3.25,3.8,2.1,1.72
Middlesbrough,Blackpool,1,2,1.83,3.4,4.75,2.2,1.66
Millwall,Coventry,1,1,2.55,3.1,3,2.3,1.61
Peterboro,Birmingham,3,0,3.4,3.3,2.2,2.08,1.85
Preston,West Brom,1,1,3.8,3.6,1.95,1.97,1.96
QPR,Bristol City,1,2,1.83,3.6,4.33,1.9,1.9
Coventry,Peterboro,3,0,1.61,4,5.5,1.9,1.9
West Brom,QPR,2,1,1.7,4,4.75,1.66,2.2
Reading,Middlesbrough,1,0,3,3.2,2.45,2.1,1.72
Birmingham,Preston,0,0,2.05,3.2,4,2.3,1.61
Blackburn,Cardiff,5,1,2.25,3.4,3.2,2,1.8
Blackpool,Barnsley,1,0,2.4,3.3,3,2.3,1.61
Bournemouth,Luton,2,1,1.57,4.33,5.5,1.85,2
Bristol City,Fulham,1,1,5,3.6,1.75,2,1.85
Nott'm Forest,Millwall,1,1,2.5,3.1,3.1,2.37,1.57
Sheffield United,Derby,1,0,1.61,3.75,6,2.1,1.72
Stoke,Hull,2,0,1.57,3.8,6.5,2.2,1.66
Swansea,Huddersfield,1,0,2.5,3.2,3,2.3,1.61
Cardiff,West Brom,0,4,4.33,3.5,1.85,2.02,1.83
Huddersfield,Blackburn,3,2,2.55,3.3,2.8,2,1.8
Hull,Blackpool,1,1,2.25,3.2,3.4,2.2,1.66
Middlesbrough,Sheffield United,2,0,3,3.1,2.55,2.5,1.53
Preston,Stoke,1,1,2.7,3.1,2.8,2.3,1.61
QPR,Birmingham,2,0,1.95,3.6,3.8,1.93,1.93
Barnsley,Nott'm Forest,1,3,2.4,3,3.25,2.37,1.57
Derby,Reading,1,0,2.25,3.2,3.4,2.2,1.66
Fulham,Swansea,3,1,1.36,4.75,8.5,1.72,2.1
Luton,Coventry,5,0,2.7,3.2,2.7,2.1,1.72
Millwall,Bristol City,1,0,2.05,3.2,4,2.3,1.61
Peterboro,Bournemouth,0,0,5.25,3.75,1.66,1.9,1.9
Stoke,West Brom,1,0,3.5,3.2,2.2,2.1,1.72
Coventry,Fulham,4,1,3.75,3.5,2,1.9,1.9
Barnsley,Millwall,0,1,3,3.1,2.5,2.5,1.53
Birmingham,Nott'm Forest,0,3,2.15,3.2,3.6,2.3,1.61
Blackpool,Blackburn,2,1,3,3.3,2.45,2,1.8
Bournemouth,Sheffield United,2,1,1.95,3.5,3.9,2.1,1.72
Cardiff,Reading,0,1,2,3.4,3.8,1.9,1.9
Derby,Swansea,0,0,2.45,3.1,3.1,2.37,1.57
Hull,Middlesbrough,2,0,3,3.2,2.45,2.3,1.61
Luton,Huddersfield,0,0,2.1,3.3,3.75,2,1.8
Peterboro,Bristol City,2,3,2.5,3.3,2.87,2,1.8
QPR,Preston,3,2,2.05,3.6,3.5,1.9,1.9
West Brom,Birmingham,1,0,1.61,4,5.5,1.88,1.98
Fulham,QPR,4,1,1.6,4.2,5.25,1.57,2.37
Blackburn,Coventry,2,2,2.8,3.25,2.6,2,1.85
Bristol City,Bournemouth,0,2,4.5,3.4,1.85,2,1.8
Huddersfield,Hull,2,0,2,3.3,4,2.1,1.72
Middlesbrough,Peterboro,2,0,1.8,3.5,4.75,1.9,1.9
Millwall,Luton,0,2,2.37,3.2,3.25,2.1,1.72
Nott'm Forest,Blackpool,2,1,2,3.3,4,2.1,1.72
Preston,Derby,0,0,2,3.2,4.2,2.3,1.61
Reading,Barnsley,1,0,2.15,3.25,3.6,2.2,1.66
Sheffield United,Stoke,2,1,2.2,3.2,3.5,2.1,1.72
Swansea,Cardiff,3,0,2.4,3.2,3.1,2.3,1.61
Bristol City,Nott'm Forest,1,2,2.75,3.25,2.62,2.1,1.72
Derby,Luton,2,2,3.3,3.2,2.3,2.5,1.53
QPR,Blackburn,1,0,2.15,3.5,3.3,1.72,2.1
